South America,Latin America,G20,EU,OECD,BRICS
Argentina,Belize,Argentina,Austria,Australia,Brazil
Bolivia,Costa Rica,Australia,Belgium,Austria,Russia
Brazil,El Salvador,Brazil,Bulgaria,Belgium,India
Chile,Guatemala,Canada,Croatia,Canada,China
Colombia,Honduras,China,Cyprus,Chile,South Africa
Ecuador,Mexico,France,Czech Republic,Colombia,
Paraguay,Nicaragua,Germany,Denmark,Costa Rica,
Peru,Panama,India,Estonia,Czech Republic,
Uruguay,Argentina,Indonesia,Finland,Denmark,
Venezuela,Bolivia,Italy,France,Estonia,
,Brazil,Japan,Germany,Finland,
,Chile,South Korea,Greece,France,
,Colombia,Mexico,Hungary,Germany,
,Ecuador,Russia,Ireland,Greece,
,Paraguay,Saudi Arabia,Italy,Hungary,
,Peru,South Africa,Latvia,Iceland,
,Uruguay,Turkey,Lithuania,Ireland,
,Venezuela,United Kingdom,Luxembourg,Israel,
,Cuba,United States,Malta,Italy,
,Dominican Republic,European Union,Netherlands,Japan,
,Haiti,,Poland,Korea,
,,,Portugal,Latvia,
,,,Romania,Lithuania,
,,,Slovakia,Luxembourg,
,,,Slovenia,Mexico,
,,,Spain,Netherlands,
,,,Sweden,New Zealand,
,,,,Norway,
,,,,Poland,
,,,,Portugal,
,,,,Slovak Republic,
,,,,Slovenia,
,,,,Spain,
,,,,Sweden,
,,,,Switzerland,
,,,,Turkiye,
,,,,United Kingdom,
,,,,United States,
